CODE,BULK LBR,BULK RATE,PRODUCT,WEIGHT,RSLR LBR,RESELLER RATE,CUST LBR,RETAIL RATE,RETAIL            T. PRICE,245,,BULK CODE,RSLR CODE,CUST CODE,
ACC17-01,549,549,925 Silver Rakhi Leather Band,PC,631,631,769,769,769,,,BZG,LAR,ILG,
ACC17-03,549,549,925 Silver Rakhi Leather Band,PC,631,631,769,769,769,,,BZG,LAR,ILG,
ACC17-04,549,549,925 Silver Rakhi Leather Band,PC,631,631,769,769,769,,,BZG,LAR,ILG,
ACC17-05,549,549,925 Silver Rakhi Leather Band,PC,631,631,769,769,769,,,BZG,LAR,ILG,
ACC17-06,549,549,925 Silver Rakhi Leather Band,PC,631,631,769,769,769,,,BZG,LAR,ILG,
ACC17-07,549,549,925 Silver Rakhi Leather Band,PC,631,631,769,769,769,,,BZG,LAR,ILG,
ACC17-08,549,549,925 Silver Rakhi Leather Band,PC,631,631,769,769,769,,,BZG,LAR,ILG,
ACC17-09,549,549,925 Silver Rakhi Leather Band,PC,631,631,769,769,769,,,BZG,LAR,ILG,
ACC17-10,549,549,925 Silver Rakhi Leather Band,PC,631,631,769,769,769,,,BZG,LAR,ILG,
ACC17-11,549,549,925 Silver Rakhi Leather Band,PC,631,631,769,769,769,,,BZG,LAR,ILG,
ACC18-01,3200,"3,200",Divine Adjustable Rakhi Bracelet,PC,"3,680","3,680","4,480","4,480","4,480",,,AOXX,ALNX,ZZNX,
ACC18-02,3200,"3,200",Divine Adjustable Rakhi Bracelet,PC,"3,680","3,680","4,480","4,480","4,480",,,AOXX,ALNX,ZZNX,
ANK02-01,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-02,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-03,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
ANK02-04,999,999,Black Thread/Beads Anklets,PC,"1,149","1,149","1,399","1,399","1,399",,,GGG,RRZG,RAGG,
